width,name,STT
" 5,5m",Lỗ Giáng 7,849
" 5,5m",Lỗ Giáng 8,850
" 5,5m",Lỗ Giáng 9,851
" 7,5 m",Lộc Ninh,852
" 5,5m",Lộc Phước 1,853
" 7,5m.",Lư Giang,854
" 7,5m",Lương Đắc Bằng,855
 ,Lương Định Của,856
" 5,5m",Lương Hữu Khánh,857
" 5,5 m",Lương Khánh Thiện ,858
" 7,5 m",Lương Ngọc Quyến,859
" 7,5 m",Lương Nhữ Hộc,860
 8 m,Lương Thế Vinh,861
" 5,5 m",Lương Thúc Kỳ,862
" 7,5 m",Lương Văn Can,863
" 5,5 m",Lưu Hữu Phước,864
" 5,5 m",Lưu Nhân Chú,865
" 7,5m có đoạn 5,5m",Lưu Quang Thuận,866
 6m,Lưu Quang Vũ,867
" 5,5 m",Lưu Quý Kỳ,868
" 5,5 m",Lưu Trọng Lư,869
" 7,5m",Lưu Văn Lang,870
" 7,5 m",Lý Chính Thắng ,871
" 7,5 m",Lý Đạo Thành,872
 5m,Lý Nam Đế,873
 ,Lý Nhật Quang,874
 ,Lý Tử Tấn,875
 9m,Lý Tự Trọng,876
" 9,5 m",Lý Thái Tổ,877
 15m,Lý Thái Tông,878
 7.5m,Lý Thánh Tông,879
" 5,5m",Lý Thiên Bảo,880
 10.5m,Lý Thường Kiệt,881
 8m,Lý Triện,882
" 5,5m",Lý Văn Phức,883
 ,Lý Văn Tố,884
" 7,5m",Lý Văn Tố,885
" 7,5m",Mạc Cửu,886
 5m,Mạc Đĩnh Chi,887
" 5,5m",Mạc Thị Bưởi,888
" 7,5m",Mạc Thiên Tứ,889
 8m,Mai Am,890
" 7,5m",Mai Anh Tuấn,891
 5m,Mai Dị (cũ),892
 ,Mai Dị (nối dài),893
 6m,Mai Đăng Chơn,894
 10.5m,Mai Hắc Đế,895
 6m,Mai Lão Bạng,896
" 7,5m",Mai Văn Ngọc,897
 6m,Mai Xuân Thưởng,898
" 7,5m",Man Thiện,899
" 5,5m",Mân Quang 1,900
" 5,5m",Mân Quang 1,901
 ,Mân Quang 10,902
" 5,5m",Mân Quang 2,903
" 5,5m",Mân Quang 2 ,904
" 5,5m",Mân Quang 3,905
" 5,5m",Mân Quang 3 ,906
" 5,5m",Mân Quang 4,907
" 5,5m",Mân Quang 4,908
" 7,5m",Mân Quang 5,909
" 7,5m",Mân Quang 5,910
" 3,75m",Mân Quang 6,911
" 3,75m",Mân Quang 7,912
" 7,5m",Mân Quang 8,913
 ,Mân Quang 9,914
" 5,5m",Mẹ Hiền,915
 6m,Mẹ Nhu,916
" đoạn 2x15m và có đoạn 2x7,5m",Minh Mạng,917
" 5,5m",Mộc Bài 1,918
" 5,5m",Mộc Bài 1,919
" 5,5m",Mộc Bài 2,920
" 5,5m",Mộc Bài 2,921
" 5,5m",Mộc Bài 3,922
" 5,5m",Mộc Bài 3,923
" 5,5m",Mộc Bài 4,924
" 5,5m",Mộc Bài 4,925
" 7,5m",Mộc Bài 5,926
" 5,5m",Mộc Bài 6,927
" 5,5m",Mộc Sơn 1,928
" 5,5m",Mộc Sơn 2,929
" 7,5m",Mộc Sơn 3,930
" 7,5m",Mộc Sơn 4,931
" 5,5m",Mỹ An 1,932
" 5,5m",Mỹ An 1,933
" 5,5m",Mỹ An 10,934
" 5,5m",Mỹ An 10 ,935
" 5,5m",Mỹ An 11,936
" 5,5m",Mỹ An 11,937
" 5,5m",Mỹ An 12,938
" 5,5m",Mỹ An 12,939
" 5,5m",Mỹ An 14,940
" 5,5m",Mỹ An 14,941
" 5,5m",Mỹ An 15,942
" 5,5m",Mỹ An 15,943
" 5,5m",Mỹ An 16,944
" 5,5m",Mỹ An 16,945
" 7,5m",Mỹ An 17,946
" 7,5m",Mỹ An 17,947
" 5,5m",Mỹ An 18,948
" 5,5m",Mỹ An 18,949
" 3,5m",Mỹ An 19,950
" 3,5m",Mỹ An 19,951
" 5,5m",Mỹ An 2,952
" 5,5m",Mỹ An 2,953
" 5,5m",Mỹ An 20,954
" 5,5m",Mỹ An 20,955
" 5,5m",Mỹ An 21,956
" 5,5m",Mỹ An 21,957
" 5,5m",Mỹ An 22,958
" 5,5m",Mỹ An 22,959
" 5,5m",Mỹ An 23,960
" 5,5m",Mỹ An 23,961
" 5,5m",Mỹ An 24,962
" 5,5m",Mỹ An 24,963
" 7,5m",Mỹ An 25,964
" 7,5m",Mỹ An 25,965
" 5,5m",Mỹ An 3,966
" 5,5m",Mỹ An 3,967
" 5,5m",Mỹ An 4,968
" 5,5m",Mỹ An 4,969
" 5,5m",Mỹ An 5,970
" 5,5m",Mỹ An 5,971
" 5,5m",Mỹ An 6,972
" 5,5m",Mỹ An 6,973
" 5,5m",Mỹ An 7,974
" 5,5m",Mỹ An 7,975
" 5,5m",Mỹ An 8,976
" 5,5m",Mỹ An 8,977
" 5,5m",Mỹ An 9,978
" 5,5m",Mỹ An 9,979
 ,Mỹ Đa Đông 1,980
 ,Mỹ Đa Đông 2,981
 ,Mỹ Đa Đông 3,982
" 3,5m",Mỹ Đa Đông 4,983
" 3,5m",Mỹ Đa Đông 5,984
" 3,5m",Mỹ Đa Đông 6,985
 4m,Mỹ Đa Đông 7,986
 4m,Mỹ Đa Đông 8,987
" 7,5m",Mỹ Đa Tây 1,988
" 7,5m",Mỹ Đa Tây 2,989
" 7,5m",Mỹ Đa Tây 3,990
" 7,5m",Mỹ Đa Tây 4,991
" 7,5m",Mỹ Đa Tây 5,992
" 7,5m",Mỹ Đa Tây 6,993
" 7,5m",Mỹ Đa Tây 7,994
" 7,5m",Mỹ Đa Tây 8,995
" 5,5m",Mỹ Đa Tây 9,996
" 5,5m",Mỹ Thị 1,997
" 5,5m",Mỹ Thị 2,998
" 5,5m",Mỹ Thị 3,999
" 5,5m",Mỹ Thị 4,1000
" 5,5m",Nại Hiên Đông 11,1001
" 5,5m",Nại Hiên Đông 12,1002
" 5,5m",Nại Hiên Đông 14,1003
" 5,5m",Nại Hiên Đông 15,1004
" 5,5m",Nại Hiên Đông 16,1005
" 5,5m",Nại Hiên Đông 17,1006
" rộng 5,5m",Nại Hiên Đông 18,1007
" 7,5m",Nại Nam,1008
" 3,75m",Nại Nghĩa 1,1009
" 3,75m",Nại Nghĩa 2,1010
" 3,75m",Nại Nghĩa 3,1011
" 3,75m",Nại Nghĩa 4,1012
" 3,75m",Nại Nghĩa 5,1013
" 3,75m",Nại Nghĩa 6,1014
" 3,75m",Nại Nghĩa 7,1015
" 3,75m",Nại Tú 1,1016
" 7,5m",Nại Tú 2,1017
" 5,5m",Nại Tú 3,1018
" 7,5m",Nại Tú 4,1019
" 5,5m",Nam Sơn 4,1020
" 7,5m",Nam Sơn 1,1021
" 5,5m",Nam Sơn 2,1022
" 5,5m",Nam Sơn 3,1023
" 3,5m",Nam Sơn 5,1024
" 5,5m",Nam Thành,1025
" 5,5m",Nam Thọ 1,1026
" 5,5m",Nam Thọ 2,1027
" 5,5m",Nam Thọ 3,1028
" 5,5m",Nam Thọ 4,1029
" 5,5m",Nam Thọ 5,1030
" 5,5m",Nam Thọ 6,1031
 15m,Nam Trân,1032
 10.5m,Ninh Tốn,1033
" 7,5m",Non Nước,1034
" 7,5m",Norman Morrison,1035
 ,Norman Morrison (Morrison),1036
" 5,5m",Nơ Trang Lơng,1037
 7m,Núi Thành,1038
" 10,5m",Nghiêm Xuân Yêm,1039
" 10,5m",Nghiêm Xuân Yêm,1040
" 5,5m",Ngọc Hân,1041
 5.5m,Ngọc Hồi,1042
 ,Ngô Cao Lãng,1043
 6m,Ngô Chân Lưu,1044
 5m,Ngô Chi Lan,1045
" 5,5m",Ngô Đức kế,1046
" 5,5m",Ngô Gia Khảm,1047
 8m,Ngô Gia Tự,1048
" 5,5m",Ngô Mây,1049
" 7,5m",Ngô Quang Huy,1050
" 7,5m",Ngô Quang Huy,1051
 48m,Ngô Quyền,1052
 5m,Ngô Sỹ Liên,1053
" 7,5m",Ngô Thế Lân,1054
" 5,5m",Ngô Thế Vinh,1055
" 10,5m",Ngô Thì Hiệu,1056
" 7,5m",Ngô Thì Hương,1057
" 5,5m",Ngô Thị Liễu,1058
 ,Ngô Thì Nhậm,1059
 10m,Ngô Thì Nhậm,1060
" 7,5m",Ngô Thị Sỹ,1061
" 5,5m",Ngô Thì Trí,1062
" 10,5m",Ngô Văn Sở,1063
 ,Ngô Viết Hữu,1064
 6m,Ngô Xuân Thu,1065
 24m,Ngũ Hành Sơn,1066
" 2x10,5m",Nguyễn An Ninh,1067
" 5,5m",Nguyễn Bá Học,1068
 ,Nguyễn Bá Lân,1069
" 5,5m",Nguyễn Bá Ngọc,1070
 6m,Nguyễn Bá Phát,1071
 ,Nguyễn Bảo,1072
" 5,5m",Nguyễn Biểu,1073
" 7,5m",Nguyễn Bình,1074
 4m,Nguyễn Bỉnh Khiêm,1075
" 5,5m",Nguyễn Cảnh Chân,1076
" 5,5m",Nguyễn Cảnh Dị,1077
" 5,5m",Nguyễn Cao,1078
"  5,5m",Nguyễn Cao Luyện,1079
 ,Nguyễn Công Hãng,1080
 5m,Nguyễn Công Hoan,1081
" 5,5m",Nguyễn Công Sáu,1082
 9m,Nguyễn Công Trứ,1083
" 7,5m",Nguyễn Cơ Thạch,1084
" 7,5m",Nguyễn Cơ Thạch,1085
 6m,Nguyễn Chánh,1086
" 5,5m",Nguyễn Chế Nghĩa,1087
" 7,5m",Nguyễn Chí Diễu,1088
 14m,Nguyễn Chí Thanh,1089
" 5,5m",Nguyễn Chích,1090
" 5,5m",Nguyễn Chu Sĩ,1091
 10m,Nguyễn Chu Sỹ,1092
 10m,Nguyễn Chu Sỹ,1093
" 10,5m",Nguyễn Du,1094
" 7,5m",Nguyễn Dục,1095
 ,Nguyễn Duy,1096
 ,Nguyễn Duy,1097
" 5,5m",Nguyễn Duy Cung,1098
 6m,Nguyễn Duy Hiệu,1099
 7m,Nguyễn Duy Trinh,1100
" 5,5m",Nguyễn Dữ,1101
 5.5 m,Nguyễn Dữ,1102
" 5,5m",Nguyễn Đăng,1103
 ,Nguyễn Đăng,1104
" 5,5m – 7,5m",Nguyễn Đăng Đạo,1105
 ,Nguyễn Đăng Giai,1106
" 5,5m",Nguyễn Đình Chiểu,1107
" 7,5m",Nguyễn Đình Hiến,1108
" 7,5m – 10,5m",Nguyễn Đình Tứ,1109
" 7,5 - 10,5m",Nguyễn Đình Tứ,1110
" 10,5m",Nguyễn Đình Tựu,1111
" 7,5m",Nguyễn Đình Trân,1112
" 10,5m",Nguyễn Đình Trọng ,1113
" 10,5m",Nguyễn Đình Trọng (nối dài),1114
" 7,5m",Nguyễn Đóa,1115
" 7,5m",Nguyễn Đóa,1116
 7.5m,Nguyễn Đỗ Cung,1117
 ,Nguyễn Đỗ Mục,1118
" 7,5m",Nguyễn Đôn Triết,1119
" Một đoạn 5.5m, rộng một đoạn 7.5m",Nguyễn Đức An,1120
" 5,5m",Nguyễn Đức Cảnh,1121
" rộng 5,5m;",Nguyễn Đức Thiệu,1122
 15 m,Nguyễn Đức Thuận,1123
" 10,5m",Nguyễn Đức Trung,1124
" 10,5m",Nguyễn Đức Trung,1125
 4m,Nguyễn Gia Thiều,1126
 6m,Nguyễn Gia Trí,1127
 ,Nguyễn Giản Thanh,1128
" 5,5 m",Nguyễn Giản Thanh 2,1129
" 5,5m",Nguyễn Hàng,1130
" 10,5m",Nguyễn Hàng Chi,1131
" 5,5m",Nguyễn Hàng Chi,1132
" 9,5m",Nguyễn Hanh,1133
" 5,5m",Nguyễn Hành,1134
 6m,Nguyễn Hoàng,1135
 ,Nguyên Hồng,1136
 ,Nguyễn Hồng,1137
 7.5m,Nguyễn Huy Chương,1138
" 5,5m",Nguyễn Huy Lượng,1139
" 5,5m",Nguyễn Huy Oánh,1140
 5.5m,Nguyễn Huy Tự,1141
 6m,Nguyễn Huy Tưởng,1142
" 7,5m",Nguyễn Hữu An,1143
" 5,5m",Nguyễn Hữu Cảnh,1144
" 10,5m",Nguyễn Hữu Dật,1145
" 10,5m",Nguyễn Hữu Đức,1146
" 10,5m",Nguyễn Hữu Tiến,1147
 34m,Nguyễn Hữu Thọ,1148
" 5,5m",Nguyễn Hữu Thông,1149
" 7,5m",Nguyễn Kiều,1150
 ,Nguyễn Khang,1151
" 7,5m",Nguyễn Khắc Cần,1152
"  5,5m",Nguyễn Khắc Nhu,1153
 15m,Nguyễn Khắc Viện,1154
 15m,Nguyễn Khắc Viện,1155
 15m,Nguyễn Khắc Viện,1156
 ,Nguyễn Khoa Chiêm,1157
" 7,5m",Nguyễn Khoái,1158
 5m,Nguyễn Khuyến,1159
"  5,5m",Nguyễn Lai,1160
 ,Nguyễn Lâm,1161
" 7,5m",Nguyễn Lộ Trạch,1162
" 7,5m",Nguyễn Lộ Trạch (nối dài),1163
" 7,5m",Nguyễn Lữ,1164
 24m,Nguyễn Lương Bằng,1165
" 5,5 m",Nguyễn Lý,1166
" 7,5m",Nguyễn Minh Chấn,1167
" 7,5m",Nguyễn Minh Châu,1168
" 5,5 m",Nguyễn Minh Không,1169
" 7,5m",Nguyễn Nghiêm,1170
" 5,5m",Nguyễn Nghiễm,1171
 5.5m,Nguyễn Nhàn,1172
 5.5m,Nguyễn Nho Túy,1173
 6m,Nguyễn Như Hạnh,1174
 5.5m,Nguyễn Phạm Tuân,1175
" 7,5m",Nguyễn Phan Chánh,1176
 5m,Nguyễn Phan Vinh,1177
" 5,5m",Nguyễn Phẩm,1178
 10.5m,Nguyễn Phi Khanh,1179
 10.5m,Nguyễn Phong Sắc,1180
" một đoạn 7,5m, một đoạn 10m",Nguyễn Phú Hường,1181
" 7,5m",Nguyễn Phú Hường,1182
" 10,5m",Nguyễn Phục,1183
" một đoạn 7,5m.",Nguyễn Phước Chu,1184
" một đoạn 8,5m.",Nguyễn Phước Nguyên,1185
 15m.,Nguyễn Phước Tần,1186
" 7,5m",Nguyễn Phước Thái,1187
 5.5m.,Nguyễn Quang Bích,1188
" 5,5m",Nguyễn Quang Lâm,1189
" 7,5m",Nguyễn Quang Lâm,1190
" 7,5m",Nguyễn Quốc Trị,1191
" 7,5m",Nguyễn Quốc Trị,1192
 5.5m.,Nguyễn Quyền,1193
 10.5m.,Nguyễn Sáng,1194
" 7,5m",Nguyễn Sĩ Cố,1195
 30 m.,Nguyễn Sinh Sắc,1196
 5.5 m.,Nguyễn Sơn,1197
" 10,5m",Nguyễn Sơn Trà,1198
 5.5 m.,Nguyễn Súy,1199
" 5,5m",Nguyễn Tạo,1200
 48 m.,Nguyễn Tất Thành,1201
" 5,5m",Nguyễn Tuân,1202
 ,Nguyễn Tuấn Thiện,1203
" 5,5m",Nguyễn Tư Giản,1204
 7.5 m.,Nguyễn Thái Bình,1205
 7m,Nguyễn Thái Học (cũ),1206
 7m,Nguyễn Thành Hãn,1207
" 5,5m",Nguyễn Thanh Năm,1208
 7.5m,Nguyễn Thành Ý,1209
 10.5m,Nguyễn Thần Hiến,1210
" 5,5m",Nguyễn Thế Lịch,1211
 10.5m,Nguyễn Thế Lộc,1212
 5.5 m.,Nguyễn Thi,1213
" 7,5m",Nguyễn Thị Ba,1214
 5.5 m.,Nguyễn Thị Bảy,1215
 15 m.,Nguyễn Thị Định,1216
 5.5 m.,Nguyễn Thị Hồng,1217
 8 m.,Nguyễn Thị Minh Khai,1218
 7.5 m.,Nguyễn Thị Thập,1219
 5 m.,Nguyễn Thiện Thuật,1220
 6 m.,Nguyễn Thiếp,1221
 7.5m,Nguyễn Thúy,1222
" 10,5m",Nguyễn Thức Đường,1223
 5.5m,Nguyễn Thượng Hiền,1224
" 5,5m",Nguyễn Trác,1225
" 5,5m",Nguyễn Trác 2,1226
" 5,5m",Nguyễn Trọng Nghĩa,1227
 ,Nguyễn Trung Ngạn,1228
" 5,5m",Nguyễn Trung Ngạn 2,1229
 8m,Nguyễn Trung Trực,1230
 ,Nguyễn Trung Trực (nối dài),1231
" 7,5m",Nguyễn Trực,1232
 ,Nguyễn Văn Bổng,1233
 ,Nguyễn Văn Cừ,1234
" 5,5m",Nguyễn Văn Giáp,1235
 5.5m,Nguyễn Văn Huề,1236
 ,Nguyễn Văn Huyên,1237
" 10,5m",Nguyễn Văn Hưởng,1238
 7.5m,Nguyễn Văn Hưởng,1239
 16m ,Nguyễn Văn Linh,1240
" 2x10,5m",Nguyễn Văn Nguyễn,1241
 5.5 m ,Nguyễn Văn Phương,1242
" 4,5m",Nguyễn Văn Siêu,1243
 10.5 m ,Nguyễn Văn Tạo,1244
" 5,5m",Nguyễn Văn Tố,1245
 ,Nguyễn Văn Thoại,1246
" 5,5m",Nguyễn Văn Thủ,1247
" 7,5m và có đoạn 5,5m",Nguyễn Văn Xuân,1248
 5.5 m ,Nguyễn Viết Xuân,1249
" 7,5 m",Nguyễn Xí,1250
" 7,5m",Nguyễn Xiển,1251
" rộng 5,5m;",Nguyễn Xuân Hữu,1252
" 5,5 m",Nguyễn Xuân Khoát,1253
" 7,5 m",Nguyễn Xuân Nhĩ,1254
" 5,5 m",Ngyễn Xuân Ôn,1255
" 5,5m",Nhân Hoà 1,1256
" 5,5m",Nhân Hoà 2,1257
" 5,5m",Nhân Hoà 3,1258
" 5,5m",Nhân Hoà 4,1259
" 5,5m",Nhân Hoà 5,1260
" 5,5m",Nhân Hoà 6,1261
" 5,5m",Nhân Hoà 7,1262
" 5,5 m",Nhất Chi Mai,1263
" 7,5m",Nhất Chi Mai,1264
" 5,5m",Nhơn Hòa 1,1265
" 5,5m",Nhơn Hòa 2,1266
" 5,5m",Nhơn Hòa 3,1267
" 5,5m",Nhơn Hòa 4,1268
" 5,5m",Nhơn Hòa 5,1269
" 5,5m",Nhơn Hòa 6,1270
" 5,5m",Nhơn Hòa 7,1271
" rộng 5,5m",Nhơn Hòa 8,1272
" 5,5m",Nhơn Hòa Phước 1,1273
" rộng 3,75m",Nhơn Hòa Phước 2,1274
" rộng 3,75m",Nhơn Hòa Phước 3,1275
 15m,Như Nguyệt,1276
 15 m,Ông Ích Đường,1277
 15m,Ông Ích Đường,1278
 9 m,Ông Ích Khiêm,1279
 6.5 m,Pasteur,1280
" 5,5m",Phạm Bành,1281
 5.5 m,Phạm Công Trứ,1282
" 7,5m",Phạm Cự Lượng,1283
 7.5 m,Phạm Đình Hồ,1284
" 7,5m",Phạm Đức Nam,1285
 7 m,Phạm Hồng Thái,1286
 7.5 m,Phạm Hữu Kính,1287
 ,Phạm Kiệt,1288
" 5,5m",Phạm Khiêm Ích,1289
 6 m,Phạm Nỗi,1290
 5.5 m,Phạm Ngọc Thạch,1291
 3 m,Phạm Ngũ lão,1292
 3 m,Phạm Như tăng,1293
 6 m,Phạm Như Xương,1294
 7.5 m,Phạm PHú  Tiết,1295
 6 m,Phạm Phú Thứ,1296
 5.5 m,Pham Sư Mạnh,1297
 5.5 m,Phạm Tu,1298
" 10,5m",Phạm Tuấn Tài,1299
 ,Phạm Tứ,1300
 5.5m,Phạm Thận Duật,1301
 5.5 m,Phạm Văn Bạch,1302
 56 m,Phạm Văn Đồng,1303
 6 m,Phạm văn Nghị,1304
 10.5 m,Phạm văn Ngôn,1305
 7.5 m,Phạm văn Trang,1306
" 10,5m",Phạm Văn Xảo,1307
 7.5 m,Pham Vấn,1308
" 5,5m",Phạm Vinh,1309
 6 m,Phan Bá Phiến,1310
 5.5 m,Phan Bôi,1311
" 5,5m",Phan Bôi,1312
 8.5 m,Phan Châu Trinh,1313
 14m,Phan Đăng Lưu,1314
 15m,Phan Đăng Lưu,1315
 7 m,Phan Đình Phùng,1316
" 5,5m",Phan Đình Thông,1317
 5.5 m,Phan Đình Thông,1318
 15m,Phan Hành Sơn,1319
 6 m,Phan Huy Chú,1320
 6 m,Phan Huy Ích,1321
" 7,5m",Phan Huy Thực,1322
 5.5 m,Phan Kế Bính,1323
" 7,5m",Phan Khôi,1324
" 7,5m",Phan Khôi,1325
" 7,5m",Phan Liêm,1326
" 7,5m.",Phan Ngọc Nhân,1327
 7.5 m,Phan Nhu,1328
 5.5 m,Phan Phu Tiên,1329
" 5,5m",Phan Phu Tiên,1330
 7.5 m,Phan Tòng ,1331
" 7,5m",Phan Tôn,1332
" 7,5m",Phan Tôn,1333
" 7,5m",Phan Tốn,1334
 7 m,Phan Tứ,1335
 6m,Phan Thanh,1336
 4m,Phan Thành tài,1337
 5.5 m,Phan Thị Nể,1338
 5.5 m,Phan Thúc Duyện,1339
 5.5 m,Phan Trọng Tuệ,1340
" 7,5m",Phan Văn Đạt,1341
 6.5 m,Phan Văn Định,1342
" 7,5m",Phan Văn Hớn,1343
" 7,5m",Phan Văn Thuật,1344
 ,Phan Văn Trị,1345
" 5,5m",Phan Văn Trường,1346
" 3,5m",Phần Lăng 1,1347
" 5,5m",Phần Lăng 10,1348
" 5,5m",Phần Lăng 11,1349
" 5,5m",Phần Lăng 12,1350
" 5,5m",Phần Lăng 14,1351
" 5,5m",Phần Lăng 15,1352
" 5,5m",Phần Lăng 16,1353
" 5,5m",Phần Lăng 17,1354
" 5,5m",Phần Lăng 18,1355
" 7,5m",Phần Lăng 19,1356
 ,Phần Lăng 2,1357
" 3,5m",Phần Lăng 3,1358
" 3,5m",Phần Lăng 4,1359
" 3,5m",Phần Lăng 5,1360
" 5,5m",Phần Lăng 6,1361
" 5,5m",Phần Lăng 7,1362
" 5,5m",Phần Lăng 8,1363
 6 m,Phó Đức Chính,1364
5.5 m,Phong Bắc,1365
5.5 m,Phong Bắc,1366
5.5 m,Phong Bắc 16,1367
5.5 m,Phong Bắc 1,1368
5.5 m,Phong Bắc 10,1369
5.5 m,Phong Bắc 11,1370
" rộng 5,5m;",Phong Bắc 18,1371
" 5,5m",Phong Bắc 19,1372
5.5 m,Phong Bắc 2,1373
5.5 m,Phong Bắc 2,1374
" 5,5m, có đoạn 3m",Phong Bắc 20,1375
5.5 m,Phong Bắc 3,1376
5.5 m,Phong Bắc 3,1377
5.5 m,Phong Bắc 4,1378
5.5 m,Phong Bắc 4,1379
5.5 m,Phong Bắc 5,1380
5.5 m,Phong Bắc 6,1381
5.5 m,Phong Bắc 7,1382
" rộng 5,5m;",Phong Bắc 8,1383
5.5 m,Phong Bắc 9,1384
" 5,5m.",Phù Đổng,1385
7.5 m,Phù Đổng,1386
" 5,5m",Phú Lộc 1,1387
" 5,5m ",Phú Lộc 10,1388
" 5,5m ",Phú Lộc 11,1389
" 5,5m ",Phú Lộc 12,1390
" 5,5m ",Phú Lộc 14,1391
" 5,5m ",Phú Lộc 15,1392
" 5,5m ",Phú Lộc 16,1393
" 5,5m ",Phú Lộc 17,1394
" 5,5m ",Phú Lộc 18,1395
 5m,Phú Lộc 19,1396
" 5,5m",Phú Lộc 2,1397
" 5,5m",Phú Lộc 3,1398
" 5,5m",Phú Lộc 4,1399
" 5,5m ",Phú Lộc 5,1400
" 5,5m ",Phú Lộc 6,1401
" 3,5m ",Phú Lộc 7,1402
" 5,5m ",Phú Lộc 8,1403
" 5,5m ",Phú Lộc 9,1404
 ,Phú Thạnh 1,1405
 ,Phú Thạnh 2,1406
 ,Phú Thạnh 3,1407
 ,Phú Thạnh 4,1408
 ,Phú Thạnh 5,1409
" 7,5m",Phùng Chí Kiên,1410
" 10,5m",Phùng Hưng,1411
 4m,Phùng Khắc Khoan,1412
" Có đoạn 7,5m, có đoạn 5,5m",Phùng Tá Chu,1413
5.5 m,Phước Hòa,1414
0,Phước Hòa 1,1415
5.5 m,Phước Hòa 2,1416
5.5 m,Phước Hòa 3,1417
 5.5 m,Phước Mỹ,1418
3.5 m,Phước mỹ ,1419
3.5 m,"PHước Mỹ, sơn Trà",1420
 7.5 m,Phước Trường 1,1421
 5.5 m,Phước Trường 2,1422
 5.5 m,Phước Trường 3,1423
 5.5 m,Phước Trường 4,1424
 5.5 m,Phước Trường 5,1425
 5.5 m,Phước Trường 6,1426
 5.5 m,Phước Trường 7,1427
" rộng 5,5m",Phước Trường 8,1428
" rộng 5,5m",Phước Trường 9,1429
" 7,5m",Quán Khái 10,1430
" 7,5m",Quán Khái 11,1431
" 7,5m",Quán Khái 12,1432
 5.5 m,Quán Khải 2,1433
 5.5 m,Quán Khải 3,1434
 5.5 m,Quán Khải 4,1435
 5.5 m,Quán Khải 5,1436
 5.5 m,Quán Khải 6,1437
 5.5 m,Quán Khải 7,1438
 5.5 m,Quán Khải 8,1439
" 7,5m",Quán Khái 9,1440
" 5,5m",Quang Dũng,1441
 15m,Quảng Nam,1442
" 5,5m",Quang Thành 1,1443
" 5,5m",Quang Thành 2,1444
" 10,5m",Quang Trung,1445
,Quốc lộ 14B,1446
 ,Quốc lộ 1A,1447
 7m,Quy Mỹ,1448
 15m,Song Hào,1449
 7.5 m,Sơn Thủy 1,1450
"7,5m",Sơn Thủy 1,1451
 ,Sơn Thủy 10,1452
 ,Sơn Thủy 10,1453
 ,Sơn Thủy 11,1454
 ,Sơn Thủy 11,1455
 ,Sơn Thủy 2,1456
" 5,5m",Sơn Thủy 2,1457
 ,Sơn Thủy 3,1458
" 5,5m",Sơn Thủy 3,1459
 ,Sơn Thủy 4,1460
" 3,5m",Sơn Thủy 4,1461
 ,Sơn Thủy 5,1462
" 3,5m",Sơn Thủy 5,1463
 ,Sơn Thủy 6,1464
" 3,5m",Sơn Thủy 6,1465
 ,Sơn Thủy 7,1466
" 3,5m",Sơn Thủy 7,1467
 ,Sơn Thủy 8,1468
" 3,5m",Sơn Thủy 8,1469
 ,Sơn Thủy 9,1470
" 3,5m",Sơn Thủy 9,1471
" 5,5m ",Sơn Thủy Đông 1,1472
" 7,5m ",Sơn Thủy Đông 2,1473
" 5,5m ",Sơn Thủy Đông 3,1474
" 5,5m ",Sơn Thủy Đông 4,1475
 ,Suối Đá 1,1476
 ,Suối Đá 2,1477
 ,Suối Đá 3,1478
" 5,5m",Sử Hy Nhan,1479
 ,Sư Vạn Hạnh,1480
" 3,5m",Sương Nguyệt Ánh,1481
" 5,5m",Tạ Hiện,1482
" 5,5m",Tạ Mỹ Duật,1483
" 10,5m",Tạ Quang Bửu,1484
" 5,5m",Tản Đà,1485
 8m,Tăng Bạt Hổ,1486
" 10,5m",Tân An 1,1487
,Tân An 2,1488
,Tân An 3,1489
" 7,5m",Tân An 4,1490
" 5,5m",Tân Lập 1,1491
" 5,5m",Tân Lập 2,1492
" 10,5m",Tân Lưu,1493
 5.5 m,Tân Phú 1,1494
 5.5 m,Tân Phú 2,1495
" 7,5m",Tân Thái 1,1496
" 7,5m",Tân Thái 10,1497
" 5,5m",Tân Thái 2,1498
" 5,5m",Tân Thái 3,1499
" 5,5m",Tân Thái 4,1500
" một đoạn 3,5m, một đoạn 5,5m",Tân Thái 5,1501
" 5,5m",Tân Thái 6,1502
" 3,5m",Tân Thái 7,1503
" 3,5m",Tân Thái 8,1504
" 5,5m",Tân Thái 9,1505
" 10,5m",Tân Trà,1506
" 5,5m",Tân Trào,1507
" 7,5m",Tây Sơn,1508
" 7,5m",Tế Hanh,1509
 ,Tiên Sơn 1,1510
 ,Tiên Sơn 10,1511
 ,Tiên Sơn 11,1512
 ,Tiên Sơn 12,1513
 ,Tiên Sơn 13,1514
 ,Tiên Sơn 14,1515
 ,Tiên Sơn 15,1516
 ,Tiên Sơn 16,1517
 ,Tiên Sơn 17,1518
 ,Tiên Sơn 18,1519
 ,Tiên Sơn 2,1520
 ,Tiên Sơn 20,1521
" 5,5m",Tiên Sơn 21,1522
 ,Tiên Sơn 3,1523
 ,Tiên Sơn 4,1524
 ,Tiên Sơn 5,1525
 ,Tiên Sơn 6,1526
 ,Tiên Sơn 7,1527
 ,Tiên Sơn 8,1528
 ,Tiên Sơn 9,1529
 ,Tiểu La,1530
 6m,Tô Hiến Thành,1531
" 6,3m",Tô Hiệu,1532
" 7,5m",Tố Hữu,1533
