name,STT
"Đất thổ cư, đất ở",1
Các loại khác,2
"Nhà hàng, khách sạn",3
"Shop, kiot, quán",4
Căn hộ chung cư,5
"Đất nông, lâm nghiệp",6
Trang trại,7
Nhà mặt tiền,8
"Phòng trọ, nhà trọ",9
"Kho, xưởng",10
Văn phòng,11
Nhà trong hẻm,12
"Đất nền, liền kề, đất dự án",13
"Biệt thự, nhà liền kề",14
Mặt bằng,15
