,BedRoooms,Width,Square,Length,Floors,Kitchen,DiningRoom,Type,Juridical,CarParking,Direction,Rooftop,PricePerMet,DistrictPoint,WardPoint,RoadPoint,WidthRoad
59,3.0,3.8,67.0,,3.0,1,1,14,1.0,1,8.0,1,179.1,3,6.0,1183.0,9.0
60,,4.8,102.0,22.0,,1,1,2,1.0,0,1.0,0,43.14,6,36.0,911.0,4.0
61,,8.0,212.0,28.0,,0,0,2,1.0,0,6.0,0,51.89,5,35.0,1697.0,5.5
62,,15.0,300.0,20.0,,0,0,2,1.0,0,2.0,0,150.0,5,34.0,1523.0,15.0
63,3.0,4.0,35.0,,3.0,1,1,9,1.0,1,1.0,1,72.86,1,21.0,271.0,7.5
64,4.0,,80.0,,3.0,0,0,14,,0,,0,90.0,1,28.0,1698.0,5.5
65,,3.5,61.0,20.0,,0,0,14,1.0,1,5.0,0,52.46,1,17.0,968.0,5.0
66,,,93.0,,,0,0,9,,0,,0,72.04,6,36.0,307.0,5.0
67,,,171.0,,,0,0,12,,0,,0,55.56,6,37.0,670.0,8.0
68,16.0,,300.0,,7.0,1,1,12,,1,,1,85.0,5,32.0,974.0,48.0
69,2.0,,75.0,,34.0,1,1,15,,1,,1,65.0,2,2.0,1108.0,48.0
70,2.0,,70.0,,25.0,1,1,15,,1,,1,27.0,6,38.0,1691.0,
71,12.0,5.0,76.0,15.5,7.0,1,1,1,1.0,1,7.0,1,184.21,5,33.0,1699.0,15.0
72,13.0,10.0,185.0,18.5,4.0,1,1,14,1.0,1,3.0,1,78.38,6,37.0,1700.0,7.5
73,32.0,10.0,175.0,17.5,9.0,1,1,1,1.0,1,1.0,1,142.86,6,37.0,1701.0,7.5
74,,5.0,95.0,19.0,,0,0,3,1.0,0,6.0,0,42.11,4,40.0,1702.0,6.0
75,3.0,6.0,135.0,22.0,1.0,1,1,9,1.0,1,7.0,1,16.3,2,4.0,369.0,10.5
76,,42.0,870.0,,,0,0,5,1.0,0,,0,3.45,7,56.0,1703.0,4.0
77,2.0,10.2,52.0,5.2,3.0,1,1,9,1.0,1,3.0,1,46.15,3,15.0,658.0,10.5
78,,5.0,100.0,20.0,,0,0,2,1.0,0,8.0,0,125.0,6,36.0,322.0,15.0
79,3.0,,56.0,,2.0,0,0,14,1.0,0,8.0,0,64.11,5,34.0,1704.0,5.0
80,4.0,4.5,60.0,12.0,3.0,1,1,9,1.0,0,6.0,0,55.67,3,11.0,1208.0,6.0
81,3.0,5.0,55.0,11.0,3.0,1,1,9,1.0,0,,0,58.18,1,17.0,1.0,27.5
82,4.0,4.5,55.0,10.9,3.0,1,1,9,1.0,0,6.0,0,86.36,3,6.0,1183.0,9.0
83,,12.0,300.0,25.0,,0,0,3,,0,3.0,0,43.33,4,45.0,1705.0,7.5
84,,7.0,120.0,17.0,,0,0,2,1.0,0,6.0,0,4.17,7,54.0,1703.0,4.0
85,3.0,4.0,82.0,21.0,2.0,1,1,14,1.0,0,,0,57.32,2,5.0,1054.0,6.0
86,,4.0,52.0,12.0,,0,0,2,1.0,0,5.0,0,42.31,5,32.0,1699.0,15.0
87,,10.0,208.0,21.0,,0,0,2,1.0,0,2.0,0,148.08,5,34.0,1523.0,15.0
88,,8.0,78.0,10.0,,0,0,2,1.0,0,6.0,0,75.0,5,33.0,1706.0,5.0
89,,5.0,104.0,21.0,,0,0,2,1.0,0,2.0,0,149.04,5,34.0,1523.0,15.0
90,,5.0,110.0,22.0,,0,0,2,1.0,0,4.0,0,50.91,2,5.0,1707.0,15.0
91,3.0,5.0,97.0,19.0,3.0,0,0,14,1.0,0,4.0,0,139.18,1,20.0,831.0,9.0
92,4.0,4.5,83.0,18.5,3.0,1,1,14,1.0,1,8.0,1,100.0,1,21.0,1445.0,10.5
93,,,100.0,,,0,0,2,,0,,0,25.0,4,42.0,1418.0,6.0
94,,,87.0,,,0,0,2,,0,,0,32.18,2,3.0,1708.0,
95,2.0,,82.0,,34.0,1,1,15,,1,,1,65.0,2,2.0,1108.0,48.0
96,2.0,,72.0,,25.0,0,0,15,,0,,0,26.39,6,39.0,1691.0,
97,2.0,8.0,77.0,9.0,25.0,0,0,15,1.0,0,4.0,0,20.13,6,39.0,1612.0,15.0
98,2.0,8.0,70.0,11.0,20.0,1,1,15,1.0,1,,1,21.43,6,39.0,1612.0,15.0
99,3.0,10.0,86.0,12.0,9.0,1,1,15,1.0,1,3.0,1,19.79,6,39.0,1512.0,6.5
100,,8.0,107.0,15.0,,0,0,2,1.0,0,2.0,0,56.07,6,39.0,1117.0,10.5
101,3.0,4.3,61.0,15.0,2.0,0,0,9,3.0,0,,0,39.34,3,8.0,413.0,45.0
102,3.0,5.0,42.0,8.5,3.0,0,0,14,3.0,0,,0,92.86,3,8.0,1709.0,5.0
103,4.0,5.0,100.0,20.0,4.0,0,0,14,,0,7.0,0,54.5,4,44.0,516.0,7.5
104,,,90.0,,,0,0,2,1.0,0,,0,8.09,2,1.0,,7.0
105,4.0,4.5,72.0,16.0,3.0,1,1,14,1.0,1,,1,59.58,2,5.0,750.0,5.5
106,3.0,5.0,100.0,,2.0,1,1,14,1.0,1,,1,31.0,6,38.0,1691.0,5.5
107,3.0,5.0,98.0,20.0,1.0,1,0,14,1.0,1,6.0,0,70.41,5,34.0,125.0,7.5
108,4.0,5.0,118.0,21.0,3.0,0,0,9,1.0,0,,0,30.93,1,23.0,605.0,10.5
109,,5.0,105.0,21.0,,0,0,2,1.0,1,,0,26.67,2,3.0,1710.0,7.5
110,2.0,4.0,72.0,18.0,1.0,1,1,14,1.0,1,2.0,0,44.44,5,30.0,1711.0,5.5
111,3.0,5.0,90.0,18.0,2.0,1,1,14,1.0,1,,1,44.44,5,30.0,683.0,11.5
112,3.0,7.0,170.0,24.0,23.0,1,1,14,1.0,1,,1,488.24,1,19.0,1540.0,10.5
113,3.0,7.0,170.0,24.0,2.0,1,0,14,1.0,1,,1,488.24,1,19.0,150.0,12.0
114,7.0,12.0,260.0,22.0,2.0,1,1,9,1.0,1,,1,17.69,5,31.0,1262.0,6.0
115,3.0,5.0,112.0,22.0,1.0,0,0,14,1.0,0,2.0,0,27.68,4,42.0,1712.0,5.5
116,,5.0,125.0,25.0,,0,0,2,1.0,0,4.0,0,164.0,6,36.0,438.0,10.5
117,2.0,4.0,40.0,10.0,2.0,1,1,9,1.0,1,,1,48.75,3,15.0,658.0,10.5
118,4.0,6.0,60.0,10.0,3.0,1,1,9,1.0,1,7.0,1,96.67,1,18.0,831.0,9.0
119,3.0,4.1,55.0,13.5,3.0,1,1,9,1.0,1,6.0,1,53.64,3,15.0,514.0,7.0
120,,15.0,300.0,20.0,,0,0,2,1.0,0,6.0,0,175.0,5,34.0,1523.0,15.0
121,5.0,12.0,240.0,20.0,4.0,0,0,14,1.0,0,,0,118.71,1,28.0,1513.0,15.0
122,3.0,4.8,55.0,,1.0,0,0,14,,0,,0,65.27,5,34.0,1704.0,5.0
123,4.0,10.0,214.0,,3.0,1,1,14,,1,6.0,1,70.09,1,28.0,1713.0,7.5
124,5.0,10.0,200.0,20.0,3.0,0,0,8,1.0,0,1.0,0,77.5,6,37.0,720.0,7.5
125,,7.0,119.0,17.0,,0,0,2,1.0,0,1.0,0,40.34,5,29.0,865.0,7.0
126,22.0,6.0,180.0,30.0,4.0,0,0,14,1.0,0,,0,72.22,1,28.0,1393.0,5.5
127,3.0,5.0,120.0,24.0,2.0,1,1,9,1.0,0,,0,22.5,5,29.0,974.0,48.0
128,,14.0,280.0,20.0,,0,0,3,1.0,0,6.0,0,70.0,6,39.0,1692.0,15.0
129,1.0,5.0,125.0,25.0,2.0,0,0,14,1.0,0,,0,43.2,4,45.0,1621.0,10.5
130,,10.0,200.0,20.0,,0,0,3,1.0,0,7.0,0,47.0,4,45.0,1714.0,7.5
131,5.0,4.5,50.0,11.0,5.0,1,1,14,,1,,1,198.0,1,22.0,1060.0,34.0
132,,5.0,100.0,20.0,,0,0,2,1.0,0,1.0,0,34.0,4,45.0,1715.0,7.5
133,,7.5,150.0,20.0,,0,0,2,1.0,0,7.0,0,5.47,7,54.0,,7.0
134,,5.0,100.0,20.0,,0,0,2,1.0,0,3.0,0,27.2,4,44.0,1276.0,5.5
135,,5.0,75.0,15.0,,0,0,2,1.0,0,8.0,0,38.0,4,40.0,1716.0,5.5
136,,5.0,153.0,32.0,,0,0,2,1.0,0,4.0,0,10.33,7,55.0,,6.0
137,,9.9,400.0,38.0,,0,0,5,1.0,0,7.0,0,67.5,4,40.0,1182.0,15.0
138,,7.47,80.0,11.65,,0,0,2,1.0,0,2.0,0,23.5,4,44.0,,3.0
139,4.0,5.0,95.0,19.0,3.0,1,1,14,1.0,1,2.0,1,68.42,6,37.0,428.0,11.5
140,3.0,4.0,84.0,22.0,3.0,0,0,14,,0,,0,154.17,1,23.0,1060.0,34.0
141,,5.0,94.0,18.8,,0,0,2,1.0,0,6.0,0,35.11,6,39.0,1347.0,5.5
142,4.0,16.0,340.0,22.0,3.0,0,0,8,1.0,0,,0,85.29,6,39.0,1342.0,15.0
143,,4.5,118.0,26.2,,0,0,2,1.0,0,,0,110.17,1,27.0,,15.0
144,2.0,4.0,53.0,13.24,1.0,1,1,14,1.0,0,8.0,1,61.32,5,30.0,1717.0,3.7
145,3.0,10.0,215.0,,3.0,1,1,8,,1,,1,69.77,1,28.0,1713.0,7.5
146,,6.0,122.0,20.0,,0,0,3,1.0,0,1.0,0,47.54,4,45.0,1718.0,7.5
147,,5.0,87.0,17.5,,0,0,14,,0,,0,50.57,3,7.0,1719.0,7.0
148,,,125.0,,,0,0,2,,0,,0,6.4,7,54.0,1703.0,4.0
149,,5.0,123.0,20.0,,0,0,2,,0,,0,26.83,2,5.0,1720.0,6.0
150,,9.7,220.0,22.0,,0,0,2,,0,1.0,0,35.0,1,23.0,1600.0,9.0
151,3.0,14.5,78.0,,3.0,1,1,14,1.0,1,4.0,1,92.31,1,28.0,1698.0,5.5
152,,5.0,97.0,19.5,,0,0,3,1.0,0,3.0,0,32.99,4,45.0,1721.0,7.5
153,3.0,4.2,58.0,12.6,4.0,0,0,14,1.0,0,8.0,0,250.0,1,,527.0,8.0
154,,5.0,110.0,22.0,,0,0,2,1.0,0,7.0,0,23.36,6,38.0,,5.0
155,,5.0,110.0,,,0,0,2,1.0,1,2.0,0,29.09,6,38.0,1722.0,10.0
156,3.0,5.0,66.0,,1.0,0,0,14,1.0,1,4.0,0,63.64,5,31.0,1611.0,7.5
157,,4.5,80.0,18.0,,0,0,2,1.0,0,7.0,0,29.62,2,5.0,1054.0,6.0
158,5.0,10.5,216.0,19.0,2.0,1,1,9,1.0,1,2.0,1,43.06,3,8.0,1038.0,10.5
159,,5.3,122.0,20.0,,0,0,2,1.0,0,2.0,0,16.39,2,5.0,1414.0,6.3
160,3.0,5.0,92.0,19.0,2.0,1,1,9,1.0,0,2.0,0,24.46,2,3.0,476.0,5.0
161,,6.0,140.0,23.5,,0,0,2,1.0,0,2.0,0,17.86,2,4.0,629.0,7.0
162,2.0,5.0,86.0,17.0,2.0,0,0,9,1.0,0,2.0,0,26.16,2,5.0,1414.0,6.3
163,2.0,7.0,84.0,12.0,1.0,0,0,14,1.0,0,3.0,0,45.24,2,5.0,378.0,6.0
164,10.0,5.0,90.0,18.0,5.0,1,1,14,1.0,1,3.0,1,116.67,1,22.0,1553.0,5.5
165,,18.0,324.0,18.0,,0,0,3,1.0,0,,0,160.49,6,36.0,110.0,5.5
166,4.0,5.0,100.0,20.0,3.0,0,0,8,,0,,0,125.0,5,34.0,1723.0,7.5
