,BedRoooms,Width,Square,Length,Floors,Kitchen,DiningRoom,Type,Juridical,CarParking,Direction,Rooftop,PricePerMet,DistrictPoint,WardPoint,RoadPoint,WidthRoad
4202,3.0,5.0,50.0,9.7,3.0,1,1,9,1.0,1,,1,65.0,3,8.0,1510.0,10.5
4203,3.0,6.1,78.0,13.5,3.0,1,1,9,1.0,1,2.0,1,44.87,3,8.0,1510.0,10.5
4204,,9.0,117.0,12.0,,0,0,2,1.0,1,1.0,0,35.04,2,5.0,981.0,10.0
4205,2.0,3.7,52.0,14.3,2.0,1,1,9,1.0,0,1.0,0,40.0,2,5.0,1425.0,7.5
4206,,4.8,80.0,17.0,,0,0,2,1.0,0,2.0,0,28.12,2,2.0,1108.0,48.0
4207,3.0,4.5,64.0,14.0,3.0,1,1,9,1.0,0,3.0,1,62.5,3,15.0,413.0,45.0
4208,,5.0,107.0,21.0,,0,0,2,1.0,0,3.0,0,29.44,2,5.0,173.0,5.5
4209,1.0,4.5,93.0,21.0,1.0,1,1,2,1.0,0,7.0,0,32.26,2,3.0,476.0,5.0
4210,3.0,14.0,154.0,11.0,3.0,1,1,9,1.0,0,3.0,1,40.26,2,3.0,690.0,10.0
4211,2.0,7.0,98.0,14.0,2.0,1,1,14,1.0,0,2.0,1,32.65,2,2.0,851.0,7.5
4212,2.0,5.0,75.0,15.0,1.0,1,1,14,1.0,1,2.0,0,41.33,3,7.0,2026.0,6.0
4213,4.0,4.5,70.0,15.0,4.0,1,1,14,1.0,1,7.0,1,65.0,2,5.0,1053.0,5.5
4214,2.0,5.0,70.0,14.0,1.0,1,1,14,1.0,0,1.0,0,46.43,2,5.0,378.0,6.0
4215,4.0,4.5,280.0,15.0,4.0,1,1,14,1.0,1,7.0,1,16.25,2,5.0,1053.0,5.5
4216,1.0,4.5,108.0,24.0,1.0,1,1,14,1.0,1,7.0,1,57.41,2,5.0,677.0,15.0
4217,3.0,5.0,90.0,18.0,2.0,1,1,9,1.0,1,1.0,1,50.0,3,7.0,1719.0,7.0
4218,2.0,5.0,121.0,24.0,1.0,1,1,9,1.0,1,1.0,1,19.83,2,5.0,1419.0,24.0
4219,3.0,5.0,42.0,8.5,3.0,1,1,14,1.0,1,1.0,1,100.0,3,7.0,1687.0,7.5
4220,,5.0,75.0,15.0,,0,0,2,1.0,0,3.0,0,38.67,2,5.0,1930.0,10.0
4221,3.0,6.7,200.0,9.0,3.0,1,1,9,1.0,1,4.0,1,32.5,1,19.0,605.0,10.5
4222,3.0,4.0,75.0,18.0,2.0,1,1,9,1.0,0,3.0,0,42.0,2,5.0,1419.0,24.0
4223,3.0,3.58,73.0,20.8,3.0,1,1,14,,0,2.0,0,93.84,5,33.0,1959.0,6.0
4224,2.0,3.3,65.0,18.0,1.0,1,1,9,1.0,0,2.0,0,39.23,1,27.0,305.0,5.0
4225,,5.5,66.0,12.0,,0,0,2,1.0,0,3.0,0,37.12,3,9.0,1510.0,10.5
4226,,5.0,90.0,18.0,,0,0,2,1.0,0,1.0,0,37.78,2,5.0,981.0,10.0
4227,3.0,5.0,75.0,15.0,2.0,0,0,14,,0,3.0,0,49.33,2,5.0,1303.0,7.5
4228,,5.0,90.0,18.0,,0,0,2,1.0,0,2.0,0,34.44,2,5.0,1964.0,5.5
4229,4.0,5.0,90.0,18.0,1.0,1,0,14,1.0,0,3.0,0,36.67,4,42.0,193.0,14.0
4230,3.0,5.0,125.0,17.0,3.0,1,1,9,1.0,0,7.0,1,33.84,3,11.0,705.0,16.0
4231,,5.0,138.0,23.0,,0,0,2,1.0,0,7.0,0,28.99,2,3.0,1240.0,6.5
4232,3.0,6.0,61.0,10.0,3.0,1,1,14,1.0,1,3.0,1,62.3,4,42.0,1786.0,7.5
4233,2.0,6.0,60.0,10.0,5.0,1,1,15,1.0,1,3.0,0,25.0,5,30.0,974.0,48.0
4234,,5.0,100.0,20.0,,0,0,2,1.0,0,3.0,0,17.3,4,41.0,753.0,7.0
4235,2.0,7.0,68.0,10.0,2.0,0,0,14,1.0,0,2.0,0,56.62,4,42.0,1418.0,6.0
4236,4.0,5.0,100.0,20.0,3.0,1,1,14,1.0,1,3.0,1,82.0,2,5.0,833.0,15.0
4237,2.0,6.6,44.0,6.1,2.0,1,1,9,1.0,0,3.0,0,35.23,3,10.0,524.0,9.0
4238,2.0,5.0,75.0,15.0,1.0,1,1,14,1.0,0,2.0,0,42.0,2,5.0,2026.0,6.0
4239,4.0,4.0,58.0,14.5,3.0,1,1,14,1.0,1,2.0,1,97.41,1,17.0,242.0,5.5
4240,2.0,3.0,40.0,13.0,2.0,1,1,9,1.0,0,2.0,0,42.5,1,19.0,605.0,10.5
4241,3.0,7.0,140.0,20.0,2.0,1,1,14,1.0,1,2.0,1,27.14,2,2.0,1044.0,5.5
4242,5.0,9.0,530.0,59.0,1.0,0,0,14,1.0,0,2.0,0,27.36,2,4.0,1075.0,24.0
4243,,4.5,90.0,15.0,,0,0,2,1.0,0,2.0,0,18.89,2,4.0,629.0,7.0
4244,4.0,4.5,88.0,19.5,2.0,0,0,14,1.0,0,2.0,0,36.36,4,42.0,1604.0,24.0
4245,,15.0,450.0,36.0,,0,0,2,1.0,0,3.0,0,5.11,7,50.0,1613.0,21.0
4246,,13.0,310.0,23.0,,0,0,2,1.0,0,2.0,0,10.97,7,47.0,2028.0,7.0
4247,2.0,5.0,53.0,10.0,2.0,1,1,9,1.0,0,2.0,0,55.66,1,18.0,1013.0,10.5
4248,3.0,6.3,76.0,12.0,2.0,1,1,9,1.0,0,4.0,0,29.61,3,15.0,658.0,10.5
4249,3.0,4.4,65.0,16.0,2.0,1,1,9,1.0,1,2.0,1,50.77,1,27.0,1683.0,7.5
4250,2.0,5.0,35.0,7.0,2.0,1,1,9,1.0,0,2.0,0,50.0,3,11.0,705.0,16.0
4251,3.0,5.0,55.0,11.0,2.0,1,1,9,1.0,0,3.0,0,38.18,2,5.0,1006.0,6.0
4252,2.0,3.3,60.0,18.0,1.0,1,1,9,1.0,1,2.0,0,38.33,2,5.0,981.0,10.0
4253,3.0,4.1,56.0,14.0,2.0,0,0,9,1.0,0,2.0,0,51.79,3,11.0,1446.0,7.0
4254,3.0,5.0,90.0,18.0,2.0,0,0,14,1.0,0,2.0,0,37.78,2,4.0,386.0,5.5
4255,,5.0,100.0,20.0,,0,0,2,1.0,0,2.0,0,31.0,2,3.0,1062.0,7.5
4256,3.0,5.0,93.0,18.0,2.0,0,0,9,1.0,0,2.0,0,24.73,2,5.0,967.0,6.0
4257,,4.6,90.0,20.0,,0,0,2,1.0,0,2.0,0,21.11,2,5.0,1084.0,6.0
4258,4.0,4.1,92.0,20.5,1.0,0,0,9,1.0,0,3.0,0,17.93,4,42.0,1604.0,24.0
4259,2.0,5.0,100.0,20.0,1.0,0,0,9,1.0,0,2.0,0,23.0,2,5.0,1025.0,10.5
4260,3.0,4.0,57.0,14.0,2.0,1,1,9,1.0,0,2.0,0,50.35,1,19.0,705.0,16.0
4261,2.0,4.0,50.0,12.0,2.0,1,1,9,1.0,0,2.0,0,33.6,2,4.0,369.0,10.5
4262,3.0,4.0,60.0,15.0,2.0,1,1,9,1.0,0,2.0,0,35.0,3,15.0,514.0,7.0
4263,4.0,5.86,75.0,15.0,5.0,0,0,14,,0,,0,86.67,1,17.0,968.0,5.0
4264,,4.5,90.0,20.0,,0,0,2,,0,,0,194.44,6,36.0,438.0,10.5
4265,3.0,5.0,90.0,18.0,2.0,0,0,14,,0,,0,200.0,6,36.0,104.0,7.5
4266,3.0,7.8,93.0,12.0,4.0,0,0,14,,0,,0,78.49,1,17.0,1841.0,2.0
4267,4.0,4.92,102.0,21.7,3.0,0,0,14,,0,,0,86.27,1,28.0,1855.0,7.5
4268,,8.0,137.0,16.0,,0,0,2,,0,,0,35.77,4,45.0,2029.0,5.0
4269,3.0,5.0,125.0,25.0,2.0,0,0,14,,0,,0,52.0,5,30.0,683.0,11.5
4270,4.0,5.0,126.0,25.2,3.0,0,0,14,,0,,0,57.14,5,30.0,642.0,7.5
4271,,5.0,100.0,20.0,,0,0,2,,0,,0,35.0,4,44.0,1550.0,5.5
4272,3.0,5.0,133.0,26.7,2.0,0,0,14,,0,,0,67.67,1,22.0,1132.0,5.5
4273,3.0,5.0,100.0,20.0,3.0,0,0,14,,0,,0,80.0,1,22.0,977.0,5.5
4274,3.0,10.0,323.0,32.0,1.0,0,0,8,,0,,0,47.99,6,36.0,307.0,5.0
4275,,5.0,113.0,22.7,,0,0,2,1.0,0,4.0,0,200.0,5,31.0,617.0,10.5
4276,,15.0,300.0,20.0,,0,0,2,1.0,0,3.0,0,56.0,5,29.0,764.0,15.0
4277,,11.0,212.0,22.0,,0,0,2,1.0,0,3.0,0,103.77,5,29.0,1646.0,10.0
4278,,6.8,124.0,18.5,,0,0,2,1.0,0,4.0,0,82.26,5,33.0,2021.0,5.5
4279,,5.0,110.0,22.0,,0,0,2,1.0,0,3.0,0,50.0,5,29.0,1071.0,7.5
4280,,7.5,130.0,18.0,,0,0,2,1.0,0,2.0,0,145.0,5,29.0,1022.0,10.0
4281,,6.5,111.0,18.0,,0,0,2,1.0,0,7.0,0,81.0,5,29.0,1022.0,10.0
4282,,6.6,126.0,19.5,1.0,0,0,2,1.0,0,3.0,0,67.46,5,29.0,974.0,48.0
4283,,12.0,236.0,18.0,,0,0,2,1.0,0,3.0,0,95.0,5,29.0,1646.0,10.0
4284,,5.0,90.0,18.0,,0,0,2,1.0,0,1.0,0,47.78,5,29.0,2030.0,5.5
4285,,5.0,90.0,18.0,,0,0,2,1.0,0,3.0,0,56.67,5,29.0,1561.0,5.0
4286,,12.5,312.0,25.0,,0,0,2,1.0,0,7.0,0,95.0,5,29.0,717.0,6.0
4287,,10.0,150.0,15.0,,0,0,2,1.0,0,4.0,0,48.0,5,30.0,1771.0,10.0
4288,,10.0,150.0,15.0,,0,0,2,1.0,0,4.0,0,50.0,5,30.0,1828.0,10.0
4289,,5.0,100.0,20.0,,0,0,2,1.0,0,5.0,0,200.0,5,33.0,638.0,15.0
4290,,19.0,380.0,20.0,,0,0,2,1.0,0,3.0,0,57.0,5,29.0,830.0,7.5
4291,,10.0,198.0,20.0,,0,0,2,1.0,0,3.0,0,265.15,5,33.0,1692.0,15.0
4292,,10.0,250.0,25.0,,0,0,2,1.0,0,1.0,0,60.0,5,29.0,1139.0,7.5
4293,,15.0,409.0,28.0,,0,0,2,1.0,0,6.0,0,58.0,5,29.0,764.0,15.0
4294,,10.0,198.0,19.8,,0,0,2,1.0,0,3.0,0,277.78,5,31.0,1692.0,15.0
4295,,17.0,300.0,18.0,,0,0,2,1.0,0,3.0,0,130.0,5,29.0,1646.0,10.0
4296,,10.0,205.0,20.0,,0,0,2,1.0,0,4.0,0,185.0,5,29.0,617.0,10.5
4297,,10.5,210.0,19.0,,0,0,2,1.0,0,3.0,0,88.1,5,29.0,1022.0,10.0
4298,,12.0,300.0,25.0,,0,0,2,1.0,0,7.0,0,48.0,5,29.0,812.0,5.5
4299,3.0,10.0,180.0,18.0,2.0,0,0,8,1.0,0,3.0,0,65.56,5,29.0,830.0,7.5
4300,,10.0,220.0,22.0,,0,0,2,1.0,0,3.0,0,50.91,5,29.0,1071.0,7.5
4301,,10.0,250.0,25.0,,0,0,2,1.0,0,2.0,0,40.0,5,29.0,2031.0,5.5
4302,,24.0,1052.0,43.7,,0,0,2,1.0,0,3.0,0,149.24,5,29.0,617.0,10.5
4303,,10.0,220.0,22.0,,0,0,2,1.0,0,3.0,0,54.55,5,29.0,1071.0,7.5
4304,,5.0,100.0,20.0,,0,0,2,1.0,0,1.0,0,47.5,5,29.0,830.0,7.5
4305,,5.0,100.0,20.0,,0,0,2,1.0,0,2.0,0,100.0,5,29.0,1537.0,10.5
4306,,15.0,300.0,20.0,,0,0,2,1.0,0,1.0,0,45.0,5,29.0,1110.0,7.5
4307,,15.0,320.0,24.0,,0,0,2,1.0,0,2.0,0,70.0,5,29.0,764.0,15.0
4308,,20.0,396.0,19.8,,0,0,3,1.0,0,3.0,0,277.78,5,31.0,1692.0,15.0
4309,,13.5,270.0,20.0,,0,0,2,1.0,0,1.0,0,44.44,5,29.0,1485.0,5.5
4310,,31.0,1138.0,40.0,,0,0,2,1.0,0,3.0,0,130.0,5,29.0,617.0,10.5
4311,,5.0,90.0,18.0,,0,0,2,1.0,0,3.0,0,53.33,5,29.0,517.0,8.0
4312,,12.0,280.0,24.0,,0,0,2,1.0,0,6.0,0,65.0,5,29.0,966.0,10.0
4313,,5.0,92.0,18.5,,0,0,2,1.0,0,1.0,0,50.0,5,29.0,1757.0,5.5
4314,,15.0,265.0,22.0,,0,0,2,1.0,0,3.0,0,220.0,5,31.0,617.0,10.5
4315,,10.0,289.0,28.0,,0,0,2,1.0,0,3.0,0,220.0,5,31.0,617.0,10.5
4316,,6.6,140.0,22.2,,0,0,2,1.0,0,7.0,0,129.0,5,29.0,1050.0,7.5
4317,,5.0,90.0,18.0,,0,0,2,1.0,0,3.0,0,60.0,5,29.0,760.0,5.5
4318,,5.0,90.0,18.0,,0,0,2,1.0,0,8.0,0,64.44,5,29.0,1561.0,5.0
4319,,5.0,100.0,20.0,,0,0,2,1.0,0,8.0,0,47.0,5,29.0,830.0,7.5
4320,,10.0,220.0,22.0,,0,0,2,1.0,0,3.0,0,54.55,5,29.0,1071.0,7.5
4321,,5.0,100.0,20.0,,0,0,2,1.0,0,4.0,0,137.0,5,33.0,1847.0,15.0
4322,,9.0,204.0,24.0,,0,0,2,1.0,0,4.0,0,90.69,5,32.0,39.0,7.5
4323,,15.0,360.0,24.0,,0,0,2,1.0,0,7.0,0,56.0,5,29.0,812.0,5.5
4324,,6.5,111.0,18.0,,0,0,2,1.0,0,2.0,0,71.17,5,29.0,2032.0,7.5
4325,,6.4,108.0,18.0,,0,0,2,1.0,0,3.0,0,97.22,5,29.0,1646.0,10.0
4326,,10.0,200.0,20.0,,0,0,2,1.0,0,3.0,0,80.0,5,29.0,966.0,10.0
4327,,9.0,174.0,20.0,,0,0,2,1.0,0,2.0,0,114.94,5,29.0,1537.0,10.5
4328,,10.0,180.0,18.0,,0,0,2,1.0,0,7.0,0,61.11,5,29.0,1561.0,5.0
4329,,10.0,180.0,18.0,,0,0,2,,0,3.0,0,69.44,5,29.0,1486.0,5.5
4330,,10.0,288.0,18.0,,0,0,2,1.0,0,3.0,0,240.0,5,31.0,617.0,10.5
4331,,10.0,190.0,19.0,,0,0,2,1.0,0,3.0,0,81.58,5,29.0,1022.0,10.0
4332,,11.0,196.0,18.0,,0,0,2,1.0,0,3.0,0,81.63,5,29.0,1139.0,7.5
4333,,9.4,164.0,18.0,,0,0,2,1.0,0,3.0,0,91.46,5,29.0,830.0,7.5
4334,,6.5,111.0,18.0,,0,0,2,1.0,0,7.0,0,68.47,5,29.0,1561.0,5.0
4335,3.0,5.0,90.0,20.0,1.0,0,0,14,1.0,0,1.0,0,46.44,5,29.0,2030.0,5.5
4336,,4.5,90.0,20.0,,0,0,2,,0,1.0,0,45.56,5,29.0,1485.0,5.5
4337,,9.4,163.0,18.0,,0,0,2,1.0,0,3.0,0,80.0,5,29.0,830.0,7.5
4338,,12.5,350.0,28.0,,0,0,2,1.0,0,1.0,0,55.0,5,29.0,764.0,15.0
4339,,9.4,164.0,18.0,,0,0,2,1.0,0,2.0,0,60.37,5,29.0,1241.0,7.5
4340,,5.0,90.0,18.0,,0,0,2,1.0,0,3.0,0,57.22,5,29.0,830.0,7.5
4341,,5.0,90.0,18.0,,0,0,2,1.0,0,1.0,0,61.11,5,29.0,1561.0,5.0
4342,,4.5,90.0,20.0,,0,0,2,1.0,0,1.0,0,43.33,5,29.0,1485.0,5.5
4343,,5.0,100.0,20.0,,0,0,2,1.0,0,3.0,0,75.0,5,29.0,966.0,10.0
4344,,20.0,901.0,45.0,,0,0,2,1.0,0,3.0,0,120.0,5,29.0,617.0,10.5
4345,,25.0,754.0,30.0,,0,0,2,1.0,0,4.0,0,210.0,5,29.0,617.0,10.5
4346,,18.0,650.0,28.0,,0,0,2,,0,1.0,0,58.0,5,29.0,966.0,10.0
4347,,10.2,172.0,17.0,,0,0,2,1.0,0,2.0,0,319.77,5,33.0,1861.0,30.0
4348,,10.0,200.0,20.0,,0,0,2,1.0,0,1.0,0,150.0,6,36.0,322.0,15.0
4349,,15.0,300.0,20.0,,0,0,2,1.0,0,3.0,0,56.0,5,29.0,764.0,15.0
4350,,5.0,100.0,20.0,,0,0,2,1.0,0,1.0,0,47.0,5,29.0,1071.0,7.5
4351,,10.0,200.0,20.0,,0,0,3,1.0,0,1.0,0,50.0,5,29.0,830.0,7.5
4352,,4.5,90.0,20.0,,0,0,2,1.0,0,3.0,0,46.11,5,29.0,1485.0,5.5
4353,2.0,5.0,95.0,19.0,2.0,1,0,14,1.0,1,3.0,0,84.21,5,29.0,1022.0,10.0
4354,,5.0,125.0,25.0,4.0,0,0,2,1.0,0,4.0,0,104.0,5,29.0,717.0,6.0
4355,,4.7,129.0,27.8,,0,0,2,1.0,0,6.0,0,140.0,5,33.0,638.0,15.0
4356,,10.0,200.0,20.0,,0,0,2,1.0,0,8.0,0,215.0,5,33.0,638.0,15.0
4357,,5.0,82.0,16.5,,0,0,2,1.0,0,6.0,0,100.0,5,33.0,417.0,7.5
4358,,15.0,360.0,24.0,,0,0,2,1.0,0,4.0,0,57.0,5,29.0,812.0,5.5
4359,,10.0,582.0,29.0,,0,0,2,1.0,0,4.0,0,240.0,5,31.0,617.0,10.5
4360,1.0,4.5,69.0,15.5,1.0,1,1,14,1.0,0,4.0,0,90.0,1,16.0,411.0,5.5
4361,1.0,4.5,69.0,15.5,1.0,1,1,2,1.0,0,4.0,0,81.16,1,16.0,411.0,5.5
4362,2.0,5.0,75.0,15.0,2.0,0,0,14,1.0,0,6.0,0,77.33,5,32.0,455.0,5.5
4363,,5.0,100.0,20.0,,0,0,2,1.0,0,1.0,0,48.0,5,29.0,1071.0,7.5
4364,,5.0,113.0,22.7,,0,0,2,1.0,0,3.0,0,200.0,5,29.0,617.0,10.5
4365,,5.0,113.0,22.7,,0,0,2,1.0,0,3.0,0,200.0,5,29.0,617.0,10.5
4366,,5.0,100.0,20.0,,0,0,2,1.0,0,2.0,0,35.5,4,45.0,1724.0,7.5
4367,,10.0,292.0,29.0,,0,0,2,1.0,0,4.0,0,225.0,5,31.0,617.0,10.5
4368,,5.0,100.0,20.0,,0,0,2,1.0,0,1.0,0,46.5,5,29.0,830.0,7.5
4369,,8.0,154.0,20.0,,0,0,12,1.0,0,7.0,0,53.25,5,29.0,1071.0,7.5
4370,,5.0,110.0,22.0,,0,0,2,1.0,0,3.0,0,38.18,5,29.0,1071.0,7.5
4371,,10.0,180.0,18.0,,0,0,2,1.0,0,4.0,0,44.0,5,30.0,1055.0,7.5
4372,11.0,5.0,100.0,20.0,6.0,1,1,12,1.0,0,4.0,1,130.0,5,32.0,1159.0,5.5
4373,,18.0,280.0,15.0,,0,0,2,1.0,0,6.0,0,52.0,5,30.0,1551.0,7.5
4374,,10.0,291.0,29.0,,0,0,2,1.0,0,4.0,0,250.0,5,31.0,617.0,10.5
4375,,10.0,180.0,18.0,,0,0,2,1.0,0,5.0,0,166.67,5,33.0,1847.0,15.0
4376,,5.0,100.0,20.0,,0,0,2,1.0,0,1.0,0,57.0,5,29.0,966.0,10.0
4377,,11.0,210.0,19.0,,0,0,2,1.0,0,3.0,0,80.95,5,29.0,1022.0,10.0
4378,,30.0,900.0,30.0,,0,0,2,1.0,0,6.0,0,290.0,5,31.0,1692.0,15.0
4379,,10.0,209.0,20.0,,0,0,2,1.0,0,5.0,0,143.54,5,34.0,1523.0,15.0
4380,,8.1,145.0,19.5,,0,0,2,1.0,0,4.0,0,172.41,1,19.0,1184.0,6.5
4381,,5.0,90.0,18.0,,0,0,2,1.0,0,7.0,0,50.0,5,29.0,1360.0,5.5
4382,,5.0,90.0,18.0,,0,0,3,1.0,0,3.0,0,75.56,5,29.0,760.0,5.5
4383,,12.5,350.0,28.0,,0,0,2,1.0,0,1.0,0,44.5,5,29.0,764.0,15.0
4384,,12.0,290.0,21.0,,0,0,2,1.0,0,1.0,0,159.0,5,32.0,1523.0,15.0
4385,,10.0,180.0,18.0,,0,0,2,1.0,0,7.0,0,108.33,5,29.0,1646.0,10.0
4386,,10.0,250.0,25.0,,0,0,2,1.0,0,7.0,0,42.0,5,29.0,2031.0,5.5
4387,,5.0,90.0,18.0,,0,0,2,1.0,0,3.0,0,55.56,5,29.0,830.0,7.5
4388,,5.0,120.0,24.0,,0,0,2,1.0,0,4.0,0,104.17,5,32.0,1699.0,15.0
4389,,10.0,180.0,18.0,,0,0,2,1.0,0,3.0,0,73.33,5,29.0,760.0,5.5
4390,,16.5,318.0,20.0,,0,0,2,1.0,0,3.0,0,105.0,5,29.0,966.0,10.0
4391,,5.0,100.0,20.0,,0,0,2,1.0,0,1.0,0,57.0,5,29.0,966.0,10.0
4392,,10.0,227.0,22.7,,0,0,2,1.0,0,4.0,0,200.0,5,31.0,617.0,10.5
4393,4.0,6.2,98.0,15.0,3.0,0,0,14,,0,,0,102.04,1,28.0,1905.0,5.5
4394,3.0,5.0,85.0,17.0,3.0,0,0,14,,0,,0,56.47,3,14.0,1852.0,5.5
4395,,5.0,90.0,18.0,,0,0,2,,0,,0,222.22,6,36.0,111.0,7.5
4396,3.0,7.09,77.0,10.7,3.0,0,0,14,,0,,0,142.86,1,16.0,814.0,7.5
4397,3.0,9.5,162.0,17.0,2.0,0,0,14,,0,,0,74.07,5,33.0,1152.0,15.0
4398,4.0,5.1,98.0,17.0,3.0,0,0,14,,0,,0,140.82,1,18.0,831.0,9.0
4399,14.0,5.0,170.0,34.0,5.0,0,0,14,,0,,0,97.06,4,40.0,1060.0,34.0
4400,4.0,6.1,87.0,15.5,3.0,0,0,14,,0,,0,146.55,4,40.0,1541.0,10.5
4401,2.0,4.0,65.0,16.5,1.0,0,0,14,,0,,0,71.54,1,28.0,1698.0,5.5
4402,2.0,4.1,86.0,20.9,1.0,0,0,14,,0,,0,65.12,4,40.0,1090.0,10.5
4403,3.0,5.0,55.0,11.0,4.0,0,0,14,,0,,0,161.82,3,12.0,450.0,6.0
4404,4.0,5.0,75.0,15.0,3.0,0,0,14,,0,,0,84.0,3,14.0,303.0,5.5
4405,,15.0,300.0,20.0,,0,0,2,,0,,0,60.0,4,44.0,1477.0,10.5
4406,4.0,5.0,100.0,20.0,3.0,0,0,14,,0,,0,61.0,4,44.0,1059.0,10.5
4407,3.0,5.0,100.0,20.0,3.0,0,0,14,,0,,0,60.0,4,44.0,1940.0,7.5
4408,3.0,4.8,96.0,20.0,1.0,0,0,14,,0,,0,37.5,4,44.0,1940.0,7.5
4409,3.0,6.3,70.0,11.0,3.0,0,0,14,,0,,0,78.57,3,7.0,867.0,6.0
4410,3.0,4.3,95.0,22.0,2.0,0,0,14,,0,,0,52.63,5,32.0,827.0,7.5
4411,3.0,4.2,57.0,13.57,2.0,0,0,14,,0,,0,101.75,1,16.0,1459.0,6.0
4412,4.0,4.0,50.0,12.5,3.0,0,0,14,,0,,0,196.0,3,13.0,1234.0,6.0
4413,3.0,8.0,111.0,15.0,2.0,0,0,14,,0,,0,63.06,5,30.0,829.0,10.0
4414,,4.5,92.0,20.5,,0,0,2,,0,,0,96.74,1,27.0,1753.0,10.0
4415,3.0,4.5,75.0,16.5,3.0,0,0,14,,0,,0,104.0,1,27.0,815.0,7.5
4416,14.0,5.0,170.0,34.0,5.0,0,0,1,,0,,0,100.0,4,40.0,1060.0,34.0
4417,4.0,4.5,86.0,19.0,3.0,0,0,14,,0,,0,72.09,1,28.0,842.0,5.5
4418,3.0,3.8,87.0,17.0,2.0,0,0,14,,0,,0,67.82,3,11.0,1446.0,7.0
4419,,5.0,90.0,18.0,,0,0,2,,0,,0,68.89,3,11.0,2033.0,5.0
4420,3.0,3.8,125.0,33.0,2.0,0,0,14,,0,,0,52.0,3,7.0,1719.0,7.0
4421,5.0,8.3,100.0,13.4,1.0,0,0,14,,0,,0,75.0,1,28.0,1409.0,5.5
4422,5.0,5.0,95.0,19.0,4.0,0,0,14,,0,,0,126.32,1,27.0,1412.0,3.0
4423,2.0,5.0,70.0,14.0,1.0,0,0,14,,0,,0,78.57,3,11.0,2034.0,5.0
4424,6.0,8.3,231.0,27.53,1.0,0,0,2,,0,,0,59.31,6,36.0,1954.0,7.5
4425,,11.0,209.0,19.0,,0,0,2,,0,,0,45.45,3,11.0,303.0,5.5
4426,3.0,5.0,100.0,20.0,2.0,0,0,14,,0,,0,54.9,4,42.0,1952.0,7.0
4427,3.0,4.5,77.0,17.0,2.0,0,0,14,,0,,0,84.42,5,34.0,1149.0,4.5
4428,3.0,6.0,66.0,11.0,1.0,0,0,14,,0,,0,87.88,5,34.0,1221.0,6.0
4429,3.0,6.0,103.0,17.0,3.0,0,0,14,,0,,0,87.38,5,34.0,1305.0,4.0
4430,2.0,5.0,90.0,18.0,1.0,0,0,14,,0,,0,61.11,4,40.0,1528.0,5.0
4431,3.0,4.8,55.0,11.5,2.0,0,0,14,,0,,0,70.91,5,34.0,1523.0,15.0
4432,3.0,5.0,100.0,20.0,2.0,0,0,14,,0,,0,88.0,1,28.0,1415.0,7.5
4433,2.0,5.0,75.0,15.0,2.0,0,0,14,,0,,0,106.67,3,8.0,393.0,5.5
4434,12.0,5.0,125.0,25.0,4.0,0,0,14,,0,,0,132.8,1,27.0,1060.0,34.0
4435,3.0,5.0,95.0,19.0,3.0,0,0,14,,0,,0,62.11,4,40.0,1702.0,6.0
4436,4.0,5.0,85.0,17.0,3.0,0,0,14,,0,,0,64.71,3,14.0,1509.0,7.5
4437,3.0,9.0,208.0,23.0,2.0,0,0,14,,0,,0,106.25,1,22.0,326.0,10.5
4438,4.0,4.5,84.0,19.0,4.0,0,0,14,,0,,0,172.62,1,21.0,1216.0,8.5
4439,2.0,4.5,100.0,22.1,2.0,0,0,14,,0,,0,59.0,6,36.0,35.0,15.0
4440,6.0,5.0,60.0,12.0,4.0,1,1,14,,1,,0,141.65,6,36.0,1741.0,5.5
4441,3.0,5.0,100.0,20.0,3.0,0,0,14,,0,,0,44.5,4,45.0,1957.0,7.5
4442,3.0,5.0,100.0,,2.0,0,0,14,,0,,0,44.5,4,45.0,1866.0,15.0
4443,3.0,3.7,73.0,,2.0,0,0,9,,0,,0,40.41,6,37.0,670.0,8.0
4444,4.0,4.3,80.0,,3.0,0,0,9,,0,,0,49.75,3,14.0,1094.0,8.5
4445,3.0,5.0,75.0,,1.0,0,0,14,,0,,0,53.33,5,31.0,1383.0,3.5
4446,4.0,5.2,66.0,,2.0,0,0,14,,0,,0,87.88,5,34.0,996.0,4.0
4447,1.0,4.5,67.0,,1.0,0,0,14,,0,,0,83.43,5,32.0,31.0,5.5
4448,3.0,3.4,49.0,,3.0,0,0,9,,0,,0,60.2,3,12.0,651.0,10.5
4449,4.0,4.9,59.0,,3.0,0,0,9,,0,,0,45.76,1,27.0,701.0,3.5
4450,,5.0,85.0,,,0,0,2,,0,,0,42.35,6,37.0,1801.0,5.5
4451,4.0,4.9,59.0,,3.0,0,0,9,,0,,0,45.75,1,27.0,1683.0,7.5
4452,3.0,6.7,50.0,,3.0,0,0,9,,0,,0,75.0,1,22.0,1060.0,34.0
4453,2.0,4.0,67.0,,2.0,0,0,9,,0,,0,67.16,3,13.0,1234.0,6.0
4454,3.0,5.0,120.0,24.0,3.0,0,0,14,,0,,0,75.0,5,32.0,974.0,48.0
4455,,5.2,60.0,,,0,0,2,,0,,0,43.33,1,28.0,1938.0,5.5
4456,18.0,5.7,170.0,30.0,5.0,0,0,12,,0,,0,55.88,6,37.0,670.0,8.0
