,Direction,Mean,NewPoint
0,5,88.466,-1
1,8,81.875,-2
2,4,78.731,-3
3,3,78.489,-4
4,7,73.818,-5
5,1,70.829,-6
6,2,70.293,-7
7,6,60.38,-8
