,Type,Mean,NewPoint
0,1,268.097,-1
1,10,134.55,-2
2,3,103.004,-3
3,11,99.278,-4
4,14,89.798,-5
5,12,88.05,-6
6,8,82.26,-7
7,7,78.18,-8
8,4,68.706,-9
9,2,68.52,-10
10,13,59.572,-11
11,5,56.738,-12
12,9,53.46,-13
13,15,43.354,-14
14,6,28.959,-15
